[ License Plate Number , Vehicle Type , Entry Time , Departure time]
1 , cfsf , 2024-02-23 14:43:47 , 2024-02-23 14:44:16
2 , fgfd , 2024-02-23 14:43:50 , 2024-02-23 14:44:18
6689 , Bike , 2024-02-23 15:14:48 , 2024-02-23 15:16:01
6424 , Car , 2024-02-23 15:14:58 , 2024-02-23 15:20:23
4 , dgvfb , 2024-02-23 14:43:58 , 2024-02-23 15:21:23
10 , asd , 2024-02-23 15:22:02 , 2024-02-23 15:29:30
20 , asd , 2024-02-23 15:22:07 , 2024-02-23 15:46:02
10 , sa , 2024-02-23 15:48:05 , 2024-02-23 15:48:26
123 , sdf , 2024-02-23 16:39:03 , 2024-02-23 16:39:09
125 , sd , 2024-02-23 16:40:27 , 2024-02-23 16:40:34
140 , sd , 2024-02-23 16:41:00 , 2024-02-23 16:41:05
123 , sadd , 2024-02-23 17:13:06 , 2024-02-23 17:14:40
147 , sa , 2024-02-23 17:46:12 , 2024-02-23 17:46:35
123 , as , 2024-02-23 18:18:58 , 2024-02-23 18:19:03
1234 , sd , 2024-02-23 18:22:50 , 2024-02-23 18:22:54
1234 , asdf , 2024-02-23 18:59:14 , 2024-02-23 18:59:25
145 , asd , 2024-02-23 19:00:45 , 2024-02-23 19:00:50
15 , frsgh , 2024-02-23 19:40:04 , 2024-02-23 19:40:08
12345 , cxsdvf , 2024-02-23 19:55:19 , 2024-02-23 19:55:24
34 , fdsg , 2024-02-23 20:01:02 , 2024-02-23 20:01:05
1111 , sfsd , 2024-02-23 20:03:54 , 2024-02-23 20:03:58
111 , fgfd , 2024-02-23 20:10:38 , 2024-02-23 20:10:41
2525 , ads , 2024-02-23 20:27:01 , 2024-02-23 20:27:06
4545 , fdgh , 2024-02-23 20:31:22 , 2024-02-23 20:31:27
1313 , sdsf , 2024-02-23 20:50:58 , 2024-02-23 20:51:03
1515 , fgdhtf , 2024-02-23 20:53:38 , 2024-02-23 20:53:43
1212 , scfdvc , 2024-02-23 20:56:49 , 2024-02-23 20:56:54
12 , sfd , 2024-02-23 21:13:10 , 2024-02-23 21:13:13
13 , c , 2024-02-23 21:15:26 , 2024-02-23 21:15:30
16 , vcfdsv , 2024-02-23 21:21:03 , 2024-02-23 21:21:07
11 , cvxc , 2024-02-23 21:24:15 , 2024-02-23 21:24:18
123 , dsff , 2024-02-23 21:30:26 , 2024-02-23 21:30:33
98 , dvfdbv , 2024-02-23 21:32:31 , 2024-02-23 21:32:35
34 , ccbv , 2024-02-23 21:37:26 , 2024-02-23 21:37:30
132 , cv , 2024-02-23 21:41:00 , 2024-02-23 21:41:03
12 , dsaf , 2024-02-23 21:48:03 , 2024-02-23 21:48:07
1 , c , 2024-02-23 21:52:37 , 2024-02-23 21:52:55
4 ,  , 2024-02-23 21:52:47 , 2024-02-23 21:54:46
3 , gfhgb , 2024-02-23 21:52:45 , 2024-02-23 22:00:04
123 , cdsgvf , 2024-02-23 22:16:27 , 2024-02-23 22:16:31
159 , sa , 2024-02-23 22:25:29 , 2024-02-23 22:25:33
